CRV15_RS10290	K02946
CRV15_RS34865	K15553
CRV15_RS34900	K06324
CRV15_RS35250	K00640
CRV15_RS35405	K00612
CRV15_RS35755	K06148
CRV15_RS25655	K07009
CRV15_RS25660	K23393
CRV15_RS27685	K20420
CRV15_RS27610	K06218
CRV15_RS27465	K18553
CRV15_RS27440	K02028
CRV15_RS27360	K00626
CRV15_RS27340	K18688
CRV15_RS27290	K07089
CRV15_RS27030	K25144
CRV15_RS27020	K07025
CRV15_RS27000	K21160
CRV15_RS26965	K02564
CRV15_RS26960	K00135
CRV15_RS37475	K18955
CRV15_RS26940	K11206
CRV15_RS26910	K01222
CRV15_RS26905	K01191
CRV15_RS26825	K01776
CRV15_RS26675	K01620
CRV15_RS26605	K00528
CRV15_RS26600	K03648
CRV15_RS26570	K01791
CRV15_RS26295	K03704
CRV15_RS26090	K00986
CRV15_RS25845	K07025
CRV15_RS25830	K07693
CRV15_RS25620	K00635
CRV15_RS25585	K01429
CRV15_RS25580	K01430
CRV15_RS25430	K06867
CRV15_RS25225	K07005
CRV15_RS24825	K11752
CRV15_RS24745	K01783
CRV15_RS24715	K04066
CRV15_RS24705	K13038
CRV15_RS24550	K01892
CRV15_RS24510	K03072
CRV15_RS24455	K00995
CRV15_RS24430	K10716
CRV15_RS24365	K01665
CRV15_RS24310	K00768
CRV15_RS24260	K00655
CRV15_RS24150	K00074
CRV15_RS24060	K01915
CRV15_RS23905	K13527
CRV15_RS23865	K02035
CRV15_RS23470	K18545
CRV15_RS23390	K03977
CRV15_RS23325	K00259
CRV15_RS23315	K01554
CRV15_RS23310	K01937
CRV15_RS23200	K07090
CRV15_RS23155	K07568
CRV15_RS23140	K01079
CRV15_RS23090	K01866
CRV15_RS23040	K22736
CRV15_RS22955	K01628
CRV15_RS22940	K02227
CRV15_RS22915	K07238
CRV15_RS22825	K05364
CRV15_RS22815	K01714
CRV15_RS22805	K01707
CRV15_RS22800	K18981
CRV15_RS22545	K09762
CRV15_RS22530	K03703
CRV15_RS22500	K03701
CRV15_RS22350	K02335
CRV15_RS22275	K01256
CRV15_RS22145	K22736
CRV15_RS22075	K01609
CRV15_RS21905	K06204
CRV15_RS21595	K13668
CRV15_RS21575	K21471
CRV15_RS21410	K03969
CRV15_RS21340	K00382
CRV15_RS21325	K00163
CRV15_RS21185	K01915
CRV15_RS21100	K01187
CRV15_RS21075	K01724
CRV15_RS20880	K25132
CRV15_RS20635	K26815
CRV15_RS20580	K00626
CRV15_RS20310	K00645
CRV15_RS20245	K03569
CRV15_RS20095	K18887
CRV15_RS20050	K03926
CRV15_RS19890	K03595
CRV15_RS19805	K00459
CRV15_RS19660	K00147
CRV15_RS19610	K08300
CRV15_RS19570	K03569
CRV15_RS19460	K05522
CRV15_RS19445	K03523
CRV15_RS19430	K22935
CRV15_RS19420	K00862
CRV15_RS19405	K01256
CRV15_RS19380	K01256
CRV15_RS19245	K00301
CRV15_RS19175	K07012
CRV15_RS18960	K03338
CRV15_RS18800	K03307
CRV15_RS18790	K00255
CRV15_RS18605	K01183
CRV15_RS18525	K01179
CRV15_RS18360	K02804
CRV15_RS18320	K21140
CRV15_RS18135	K07735
CRV15_RS18045	K08884
CRV15_RS17975	K09927
CRV15_RS17905	K01251
CRV15_RS17570	K01468
CRV15_RS17470	K01697
CRV15_RS17375	K21687
CRV15_RS17325	K03723
CRV15_RS17240	K02897
CRV15_RS17125	K21688
CRV15_RS16835	K03282
CRV15_RS16660	K00286
CRV15_RS16615	K01524
CRV15_RS16580	K03575
CRV15_RS16415	K01633
CRV15_RS15845	K08167
CRV15_RS15820	K03168
CRV15_RS15715	K03313
CRV15_RS15260	K00453
CRV15_RS15210	K14267
CRV15_RS14725	K03088
CRV15_RS14520	K00299
CRV15_RS14320	K01262
CRV15_RS14235	K01990
CRV15_RS14215	K16014
CRV15_RS14200	K00817
CRV15_RS13925	K02470
CRV15_RS13825	K01481
CRV15_RS13805	K03767
CRV15_RS13785	K07284
CRV15_RS13620	K00074
CRV15_RS13500	K07258
CRV15_RS13385	K04762
CRV15_RS13345	K03090
CRV15_RS13285	K06915
CRV15_RS13070	K02343
CRV15_RS13050	K01923
CRV15_RS13040	K07693
CRV15_RS13025	K01990
CRV15_RS13005	K23264
CRV15_RS12930	K03578
CRV15_RS12790	K03439
CRV15_RS12760	K03885
CRV15_RS12615	K00937
CRV15_RS12350	K00991
CRV15_RS12225	K01733
CRV15_RS12115	K06996
CRV15_RS12105	K04093
CRV15_RS11935	K11783
CRV15_RS11740	K01990
CRV15_RS11630	K02003
CRV15_RS10905	K04566
CRV15_RS10750	K03719
CRV15_RS10605	K01555
CRV15_RS10575	K01992
CRV15_RS10495	K00332
CRV15_RS10325	K03043
CRV15_RS10260	K02890
CRV15_RS10065	K06925
CRV15_RS09925	K12132
CRV15_RS09905	K04093
CRV15_RS09590	K03088
CRV15_RS09340	K23842
CRV15_RS09305	K03524
CRV15_RS09240	K01739
CRV15_RS08950	K05996
CRV15_RS08585	K15580
CRV15_RS08305	K02031/K02032
CRV15_RS08260	K03657
CRV15_RS07990	K03090
CRV15_RS07965	K13787
CRV15_RS07845	K01616
CRV15_RS07220	K02108
CRV15_RS06830	K16146
CRV15_RS06820	K16147
CRV15_RS06815	K00688
CRV15_RS06630	K20484
CRV15_RS06540	K02033
CRV15_RS06135	K07131
CRV15_RS06095	K07025
CRV15_RS05980	K00954
CRV15_RS05930	K03529
CRV15_RS05695	K18286
CRV15_RS05530	K11753
CRV15_RS05435	K27087
CRV15_RS05260	K03553
CRV15_RS05220	K10008
CRV15_RS05160	K01139
CRV15_RS05000	K02469
CRV15_RS04660	K02004
CRV15_RS04640	K07667
CRV15_RS04325	K03294
CRV15_RS04290	K01599
CRV15_RS04230	K23775
CRV15_RS04175	K01236
CRV15_RS03985	K14672
CRV15_RS03865	K02012
CRV15_RS03850	K03518
CRV15_RS36250	K07114
CRV15_RS03785	K24913
CRV15_RS03770	K24912
CRV15_RS03635	K21685
CRV15_RS03365	K03800
CRV15_RS03035	K03088
CRV15_RS03015	K02379
CRV15_RS02785	K20816
CRV15_RS02735	K02529
CRV15_RS02530	K00626
CRV15_RS02480	K06959
CRV15_RS02445	K01823
CRV15_RS02385	K13787
CRV15_RS02350	K01104
CRV15_RS02325	K00261
CRV15_RS02285	K01856
CRV15_RS02280	K02050
CRV15_RS01805	K02523
CRV15_RS01790	K18929
CRV15_RS01575	K12942
CRV15_RS01490	K01745
CRV15_RS00990	K01537
CRV15_RS00840	K19640
CRV15_RS00815	K01740
CRV15_RS00715	K01179
CRV15_RS00540	K15395
CRV15_RS00490	K07100
CRV15_RS00435	K00052
CRV15_RS00220	K17755
CRV15_RS00160	K00639
CRV15_RS00155	K00060
CRV15_RS00015	K03829
CRV15_RS28355	K01771
CRV15_RS28420	K14743
CRV15_RS28480	K06045
CRV15_RS28940	K01286
CRV15_RS29595	K05375
CRV15_RS29620	K06147
CRV15_RS29765	K21117
CRV15_RS30405	K00570
CRV15_RS30415	K07137
CRV15_RS30540	K06994
CRV15_RS30885	K15907
CRV15_RS31155	K12250
CRV15_RS37560	K03466
CRV15_RS31715	K06147
CRV15_RS31775	K21267
CRV15_RS31855	K18230
CRV15_RS31885	K01808
CRV15_RS31965	K01754
CRV15_RS32240	K01990
CRV15_RS32755	K01091
CRV15_RS32850	K18111
CRV15_RS32890	K00135
CRV15_RS32920	K05847
CRV15_RS32955	K25227
CRV15_RS33270	K12674
CRV15_RS33280	K00620
CRV15_RS33285	K21188
CRV15_RS33335	K01206
CRV15_RS33905	K06907
CRV15_RS34060	K08369
CRV15_RS34310	K06147
CRV15_RS34320	K01953
CRV15_RS34600	K22278
CRV15_RS34700	K21167
CRV15_RS37315	K02021
CRV15_RS35780	K23186
CRV15_RS35785	K25286
CRV15_RS26995	K05878
CRV15_RS25825	K07778
CRV15_RS25505	K01756
CRV15_RS25470	K01113
CRV15_RS25220	K03298
CRV15_RS24990	K07160
CRV15_RS24910	K03719
CRV15_RS24490	K01159
CRV15_RS24250	K18294
CRV15_RS23770	K03284
CRV15_RS23445	K09772
CRV15_RS22870	K10674
CRV15_RS22710	K01714
CRV15_RS22250	K17624
CRV15_RS21645	K03928
CRV15_RS21365	K02231
CRV15_RS21350	K02233
CRV15_RS21295	K07071
CRV15_RS19945	K09817
CRV15_RS19760	K02340
CRV15_RS19680	K00969
CRV15_RS19360	K06945
CRV15_RS19180	K19090
CRV15_RS18440	K25154
CRV15_RS17390	K01689
CRV15_RS17130	K02528
CRV15_RS16885	K03637
CRV15_RS15890	K04487
CRV15_RS15515	K06042
CRV15_RS15405	K09747
CRV15_RS15010	K02035
CRV15_RS14460	K02483
CRV15_RS13010	K26249
CRV15_RS12785	K15736
CRV15_RS12290	K04343
CRV15_RS10800	K01845
CRV15_RS10525	K00174
CRV15_RS10380	K00075
CRV15_RS08845	K12503
CRV15_RS08755	K01676
CRV15_RS08010	K00936
CRV15_RS06765	K18476
CRV15_RS06375	K00058
CRV15_RS06145	K06945
CRV15_RS06125	K06945
CRV15_RS05475	K27085
CRV15_RS05295	K03724
CRV15_RS05225	K10005
CRV15_RS05060	K03574
CRV15_RS05015	K01647
CRV15_RS04140	K01214
CRV15_RS02270	K02049
CRV15_RS01780	K09763
CRV15_RS01450	K00020
CRV15_RS00780	K03522
CRV15_RS00680	K02035
CRV15_RS00675	K02033
CRV15_RS28410	K27087
CRV15_RS29790	K03574
CRV15_RS30395	K02003
CRV15_RS31820	K03893
CRV15_RS32670	K07006
CRV15_RS33515	K00973
CRV15_RS33690	K02003
CRV15_RS32570	K01637
CRV15_RS16390	K00760
CRV15_RS30570	K21378
CRV15_RS29300	K03710
CRV15_RS22010	K00817
CRV15_RS05285	K26605
CRV15_RS04775	K05375
CRV15_RS34675	K07506
CRV15_RS33510	K20080
CRV15_RS20850	K27545
CRV15_RS20365	K10716
CRV15_RS19750	K00675
CRV15_RS05840	K03100
CRV15_RS03025	K01897
CRV15_RS02365	K00819
CRV15_RS26450	K04651
CRV15_RS26380	K20534
CRV15_RS25885	K09925
CRV15_RS17110	K07056
CRV15_RS15020	K02034
CRV15_RS28645	K12583
CRV15_RS32385	K06919
CRV15_RS30825	K21789
CRV15_RS26705	K02529
CRV15_RS18315	K03293
CRV15_RS01015	K06377
CRV15_RS32895	K00020
CRV15_RS05550	K02519
CRV15_RS04330	K01662
CRV15_RS22625	K02257
CRV15_RS21975	K01992
CRV15_RS14495	K25140
CRV15_RS30525	K13292
CRV15_RS18095	K01286
CRV15_RS15190	K23825
CRV15_RS14555	K07407
CRV15_RS21725	K00529
CRV15_RS20600	K16785
CRV15_RS18330	K02015
CRV15_RS09075	K03980
CRV15_RS10455	K03799
CRV15_RS25070	K01187
CRV15_RS29625	K21182
CRV15_RS21150	K06994
CRV15_RS17640	K01589
CRV15_RS08240	K03657
CRV15_RS03310	K17103
CRV15_RS26725	K02025
CRV15_RS25500	K03649
CRV15_RS20590	K16927
CRV15_RS14295	K09796
CRV15_RS14115	K02314
CRV15_RS13505	K09699
CRV15_RS06035	K14941
CRV15_RS03480	K02058
CRV15_RS04025	K07058
CRV15_RS09655	K14136
CRV15_RS27645	K19784
CRV15_RS26225	K14743
CRV15_RS26215	K25282
CRV15_RS25875	K22463
CRV15_RS25635	K13787
CRV15_RS23875	K07465
CRV15_RS23125	K03449
CRV15_RS19160	K09951
CRV15_RS19010	K00232
CRV15_RS18270	K00587
CRV15_RS15520	K02229
CRV15_RS12595	K01286
CRV15_RS09935	K12132
CRV15_RS07515	K12743
CRV15_RS04520	K03497
CRV15_RS03740	K03366
CRV15_RS00050	K06200
CRV15_RS27430	K02030
CRV15_RS36895	K09957
CRV15_RS26325	K02003
CRV15_RS24780	K03090
CRV15_RS23385	K00655
CRV15_RS23345	K06024
CRV15_RS23065	K14393
CRV15_RS21970	K01990
CRV15_RS19335	K22044
CRV15_RS18870	K06147
CRV15_RS15685	K10773
CRV15_RS13035	K07778
CRV15_RS12415	K15521
CRV15_RS09600	K12373
CRV15_RS08455	K08372
CRV15_RS35540	K11754
CRV15_RS33785	K22998
CRV15_RS32785	K19969
CRV15_RS32775	K01057
CRV15_RS31065	K03636
CRV15_RS30440	K13787
CRV15_RS33275	K12676
CRV15_RS31535	K00615
CRV15_RS31500	K06133
CRV15_RS28905	K22894
CRV15_RS09645	K07258
CRV15_RS25860	K00174
CRV15_RS35530	K07497
CRV15_RS35255	K01738
CRV15_RS17950	K07654
CRV15_RS05890	K00990
