From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003953493.1	A0A0B5DDL0	unreviewed	A0A0B5DDL0_9ACTN	CarD family transcriptional regulator	CP978_15960 SNOD_15665	Streptomyces nodosus	160
WP_003953493.1	A0A1G9H7R3	unreviewed	A0A1G9H7R3_9ACTN	Transcriptional regulator, CarD family	SAMN05421806_11837	Streptomyces indicus	160
WP_003953493.1	A0AA89QFX2	unreviewed	A0AA89QFX2_STRCU	CarD family transcriptional regulator	HNR72_003037	Streptomyces collinus	160
WP_003953493.1	A0A7M2TGM8	unreviewed	A0A7M2TGM8_STRCW	CarD family transcriptional regulator	IPT68_16685	Streptomyces chromofuscus	160
WP_003953493.1	A0A6I4N466	unreviewed	A0A6I4N466_9ACTN	CarD family transcriptional regulator	E5671_22875	Streptomyces sp. BA2	160
WP_003953493.1	A0A3S9ZFE9	unreviewed	A0A3S9ZFE9_STRGD	CarD family transcriptional regulator	DDJ31_18235 ELQ87_21040	Streptomyces griseoviridis	160
WP_003953493.1	B1VS86	unreviewed	B1VS86_STRGG	Putative CarD-like transcriptional regulator	SGR_4011	Streptomyces griseus subsp. griseus (strain JCM 4626 / NBRC 13350)	160
WP_003953493.1	D6EJY3	unreviewed	D6EJY3_STRLI	Transcriptional factor regulator	SSPG_03462	Streptomyces lividans TK24	160
WP_003953493.1	B5H5D1	unreviewed	B5H5D1_STRE2	Transcriptional regulator	SSDG_00358	Streptomyces pristinaespiralis (strain ATCC 25486 / DSM 40338 / CBS 914.69 / JCM 4507 / NBRC 13074 / NRRL 2958 / 5647)	160
WP_003953493.1	D6APF0	unreviewed	D6APF0_STRFL	Transcriptional factor regulator	SSGG_03013	Streptomyces filamentosus NRRL 15998	160
WP_003953493.1	B5HLP9	unreviewed	B5HLP9_STRX2	Transcriptional regulator	SSEG_00334	Streptomyces sviceus (strain ATCC 29083 / DSM 924 / JCM 4929 / NBRC 13980 / NCIMB 11184 / NRRL 5439 / UC 5370)	160
WP_003953493.1	A0A1K2FIH1	unreviewed	A0A1K2FIH1_9ACTN	RNA polymerase-binding transcription factor CarD	carD STEPF1_00211	Streptomyces sp. F-1	160
WP_003953493.1	B4VG39	unreviewed	B4VG39_9ACTN	CarD family transcriptional regulator	M444_16370	Streptomyces sp. Mg1	160
WP_003953493.1	B5GIE2	unreviewed	B5GIE2_STRSH	CarD family transcriptional regulator	SSBG_04020	Streptomyces sp. (strain SPB074)	160
WP_003953493.1	D9XSU3	unreviewed	D9XSU3_9ACTN	CarD family transcriptional regulator	SSRG_03472	Streptomyces griseoflavus Tu4000	160
WP_003953493.1	A0A1D8SQM0	unreviewed	A0A1D8SQM0_STROV	CarD family transcriptional regulator	IW294_20015	Streptomyces olivaceus	160
WP_003953493.1	A0A0C5GFD7	unreviewed	A0A0C5GFD7_9ACTN	CarD family transcriptional regulator	TU94_18105	Streptomyces cyaneogriseus subsp. noncyanogenus	160
WP_003953493.1	A0A640UQL8	unreviewed	A0A640UQL8_9ACTN	CarD family transcriptional regulator	Stube_26400	Streptomyces tubercidicus	160
WP_003953493.1	A0A0D4DNC1	unreviewed	A0A0D4DNC1_9ACTN	CarD family transcriptional regulator	DDE74_23535 SL103_32455	Streptomyces lydicus	160
WP_003953493.1	A0A560WYG6	unreviewed	A0A560WYG6_9ACTN	CarD family transcriptional regulator	FB570_10596	Streptomyces sp. T12	160
WP_003953493.1	A0A243S1M6	unreviewed	A0A243S1M6_9ACTN	CarD family transcriptional regulator	CA983_20015	Streptomyces swartbergensis	160
WP_003953493.1	A0A918G029	unreviewed	A0A918G029_9ACTN	CarD family transcriptional regulator	GCM10010269_53460	Streptomyces humidus	160
WP_003953493.1	A0A2G1XAY0	unreviewed	A0A2G1XAY0_STRCJ	CarD family transcriptional regulator	BLA24_13075 BLA24_30125 BLA24_30150 CYQ11_17435 GCM10010507_61430	Streptomyces cinnamoneus (Streptoverticillium cinnamoneum)	160
WP_003953493.1	A0A5P2CIQ8	unreviewed	A0A5P2CIQ8_STRVZ	CarD family transcriptional regulator	DEJ46_18060 DEJ47_17480 DEJ48_21390 DEJ49_16405 DEJ50_14985 DEJ51_14920	Streptomyces venezuelae	160
WP_003953493.1	A0A445ND40	unreviewed	A0A445ND40_STRNE	CarD family transcriptional regulator	FHS38_004675	Streptomyces netropsis (Streptoverticillium netropsis)	160
WP_003953493.1	A0A081XVI3	unreviewed	A0A081XVI3_STRTO	CarD family transcriptional regulator	BU52_08800	Streptomyces toyocaensis	160
WP_003953493.1	A0A5N8XZH5	unreviewed	A0A5N8XZH5_9ACTN	CarD family transcriptional regulator	FNH08_48680	Streptomyces spongiae	160
WP_003953493.1	D5ZTH9	unreviewed	D5ZTH9_STRV1	Transcriptional factor regulator	SSFG_03936	Streptomyces viridosporus (strain ATCC 14672 / DSM 40746 / JCM 4963 / KCTC 9882 / NRRL B-12104 / FH 1290) (Streptomyces ghanaensis)	160
WP_003953493.1	A0A2K8PIC4	unreviewed	A0A2K8PIC4_STRLA	RNA polymerase-binding transcription factor CarD	carD SLAV_17680	Streptomyces lavendulae subsp. lavendulae	160
WP_003953493.1	A0A124HZ47	unreviewed	A0A124HZ47_9ACTN	CarD family transcriptional regulator	AQI96_19400 AQJ46_19270	Streptomyces canus	160
WP_003953493.1	D9UDK4	unreviewed	D9UDK4_STRS3	Transcriptional regulator	SSLG_02896	Streptomyces sp. (strain SPB78)	160
WP_003953493.1	D9WXL0	unreviewed	D9WXL0_STRVT	Transcriptional regulator	SSQG_03573	Streptomyces viridochromogenes (strain DSM 40736 / JCM 4977 / BCRC 1201 / Tue 494)	160
WP_003953493.1	D6K4S3	unreviewed	D6K4S3_9ACTN	CarD family transcriptional regulator	SSTG_02054	Streptomyces sp. e14	160
WP_003953493.1	A0A101TM81	unreviewed	A0A101TM81_9ACTN	CarD family transcriptional regulator	AQJ67_36415	Streptomyces caeruleatus	160
WP_003953493.1	A0A917QWS7	unreviewed	A0A917QWS7_9ACTN	CarD family transcriptional regulator	GCM10010094_38830	Streptomyces flaveus	160
WP_003953493.1	A0A7W9TBQ5	unreviewed	A0A7W9TBQ5_9ACTN	CarD family transcriptional regulator	HNR57_003681	Streptomyces paradoxus	160
WP_003953493.1	A0A919AD37	unreviewed	A0A919AD37_9ACTN	CarD family transcriptional regulator	GCM10014715_65440	Streptomyces spiralis	160
WP_003953493.1	A0A2N8NWU7	unreviewed	A0A2N8NWU7_STREU	CarD family transcriptional regulator	AF335_09950 FHS36_001371	Streptomyces eurocidicus (Streptoverticillium eurocidicus)	160
WP_003953493.1	A0A7W7LKN0	unreviewed	A0A7W7LKN0_9ACTN	CarD family transcriptional regulator	FHS39_000972	Streptomyces olivoverticillatus	160
WP_003953493.1	A0A5D4J860	unreviewed	A0A5D4J860_9ACTN	CarD family transcriptional regulator	F2B00_30800 FY004_19315 G3I50_21775	Streptomyces parvus	160
WP_003953493.1	A0A0J6XUM6	unreviewed	A0A0J6XUM6_9ACTN	CarD family transcriptional regulator	ACS04_07490	Streptomyces roseus	160
WP_003953493.1	A0A0G3AEE5	unreviewed	A0A0G3AEE5_9ACTN	CarD family transcriptional regulator	ABB07_20675	Streptomyces incarnatus	160
WP_003953493.1	A0A5J6FV14	unreviewed	A0A5J6FV14_STRVD	CarD family transcriptional regulator	CP969_18360	Streptomyces viridosporus T7A	160
WP_003953493.1	A0A918KY13	unreviewed	A0A918KY13_9ACTN	CarD family transcriptional regulator	GCM10010251_72220	Streptomyces aurantiogriseus	160
WP_003953493.1	A0A0N0XZ56	unreviewed	A0A0N0XZ56_9ACTN	CarD family transcriptional regulator	ADL29_05055	Streptomyces chattanoogensis	160
WP_003953493.1	A0A918IAI3	unreviewed	A0A918IAI3_9ACTN	CarD family transcriptional regulator	GCM10010260_22350	Streptomyces filipinensis	160
WP_003953493.1	A0A4Y3RKI3	unreviewed	A0A4Y3RKI3_9ACTN	CarD family transcriptional regulator	SGA01_39560	Streptomyces gardneri	160
WP_003953493.1	A0A7W7M2Y7	unreviewed	A0A7W7M2Y7_9ACTN	CarD family transcriptional regulator	FHS37_004435	Streptomyces griseomycini	160
WP_003953493.1	A0A918ELS6	unreviewed	A0A918ELS6_9ACTN	CarD family transcriptional regulator	GCM10010249_25590	Streptomyces roseolilacinus	160
WP_003953493.1	A0A1Z1WDN2	unreviewed	A0A1Z1WDN2_9ACTN	CarD family transcriptional regulator	SMD44_03901	Streptomyces alboflavus	160
WP_003953493.1	A0A514JQH9	unreviewed	A0A514JQH9_9ACTN	CarD family transcriptional regulator	CD934_13500 FHS33_004643	Streptomyces calvus	160
WP_003953493.1	A0A7X0HDN3	unreviewed	A0A7X0HDN3_9ACTN	CarD family transcriptional regulator	HNQ79_002141	Streptomyces candidus	160
WP_003953493.1	A0A101NGI5	unreviewed	A0A101NGI5_9ACTN	CarD family transcriptional regulator	AQI88_30120	Streptomyces cellostaticus	160
WP_003953493.1	A0A7W9PU75	unreviewed	A0A7W9PU75_9ACTN	CarD family transcriptional regulator	FHS34_003192	Streptomyces echinatus	160
WP_003953493.1	A0A919BIM2	unreviewed	A0A919BIM2_STRFL	CarD family transcriptional regulator	GCM10017667_21520	Streptomyces filamentosus (Streptomyces roseosporus)	160
WP_003953493.1	A0A919C8C4	unreviewed	A0A919C8C4_9ACTN	CarD family transcriptional regulator	GCM10010334_09500	Streptomyces finlayi	160
WP_003953493.1	A0A919AF61	unreviewed	A0A919AF61_9ACTN	CarD family transcriptional regulator	GCM10018772_30040	Streptomyces fumanus	160
WP_003953493.1	A0A117NUX2	unreviewed	A0A117NUX2_9ACTN	CarD family transcriptional regulator	AQJ54_35775	Streptomyces griseorubiginosus	160
WP_003953493.1	A0A6G5REW4	unreviewed	A0A6G5REW4_9ACTN	CarD family transcriptional regulator	CEB94_18655	Streptomyces hawaiiensis	160
WP_003953493.1	A0A918HWW8	unreviewed	A0A918HWW8_9ACTN	CarD family transcriptional regulator	GCM10010274_17840	Streptomyces lavendofoliae	160
WP_003953493.1	A0A1H4XWV2	unreviewed	A0A1H4XWV2_9ACTN	CarD family transcriptional regulator (Transcriptional regulator, CarD family)	FRZ03_00670 SAMN04490357_3794	Streptomyces misionensis	160
WP_003953493.1	A0A086MT88	unreviewed	A0A086MT88_9ACTN	CarD family transcriptional regulator	FM21_28395	Streptomyces mutabilis	160
WP_003953493.1	A0A117PN19	unreviewed	A0A117PN19_9ACTN	CarD family transcriptional regulator	AQI94_40820	Streptomyces pseudovenezuelae	160
WP_003953493.1	A0A0L8L785	unreviewed	A0A0L8L785_9ACTN	CarD family transcriptional regulator	ADK37_20545 AQJ84_18855	Streptomyces resistomycificus	160
WP_003953493.1	A0A4Q1R5B7	unreviewed	A0A4Q1R5B7_9ACTN	CarD family transcriptional regulator	EST54_08210	Streptomyces sioyaensis	160
WP_003953493.1	A0A918SP64	unreviewed	A0A918SP64_9ACTN	CarD family transcriptional regulator	GCM10010305_00820	Streptomyces termitum	160
WP_003953493.1	A0A7W5F5Y0	unreviewed	A0A7W5F5Y0_9ACTN	CarD family transcriptional regulator	FHS41_007811	Streptomyces violarus	160
WP_003953493.1	A0A919H536	unreviewed	A0A919H536_9ACTN	CarD family transcriptional regulator	Sxan_56950	Streptomyces xanthophaeus	160
WP_003953493.1	A0A117Q4B7	unreviewed	A0A117Q4B7_9ACTN	CarD family transcriptional regulator	AQI95_10310	Streptomyces yokosukanensis	160
WP_003953493.1	C9ZH29	unreviewed	C9ZH29_STRSW	Putative transcriptional regulator	SCAB_50081	Streptomyces scabiei (strain 87.22)	160
WP_003953493.1	A0A640THS4	unreviewed	A0A640THS4_9ACTN	CarD family transcriptional regulator	Sliba_32530	Streptomyces libani subsp. libani	160
WP_003953493.1	A0A918YEK2	unreviewed	A0A918YEK2_9ACTN	CarD family transcriptional regulator	GCM10010339_13680	Streptomyces alanosinicus	160
WP_003953493.1	A0A7W8BRR5	unreviewed	A0A7W8BRR5_9ACTN	CarD family transcriptional regulator	FHS32_004013	Streptomyces albaduncus	160
WP_003953493.1	A0A561TI17	unreviewed	A0A561TI17_9ACTN	CarD family transcriptional regulator	FHX78_113722	Streptomyces capillispiralis	160
WP_003953493.1	A0A919F1T2	unreviewed	A0A919F1T2_9ACTN	CarD family transcriptional regulator	GCM10018980_63650	Streptomyces capoamus	160
WP_003953493.1	A0A494V1K7	unreviewed	A0A494V1K7_9ACTN	CarD family transcriptional regulator	CNQ36_15760	Streptomyces fungicidicus	160
WP_003953493.1	A0A7W2HY28	unreviewed	A0A7W2HY28_9ACTN	CarD family transcriptional regulator	H1X69_31635	Streptomyces griseoaurantiacus	160
WP_003953493.1	A0A1B1BAV2	unreviewed	A0A1B1BAV2_9ACTN	CarD family transcriptional regulator	AVL59_45250	Streptomyces griseochromogenes	160
WP_003953493.1	A0A918QLM9	unreviewed	A0A918QLM9_9ACTN	CarD family transcriptional regulator	GCM10010387_59630	Streptomyces inusitatus	160
WP_003953493.1	A0A0F4J493	unreviewed	A0A0F4J493_9ACTN	CarD family transcriptional regulator	VR44_23770	Streptomyces katrae	160
WP_003953493.1	A0A918ZVB9	unreviewed	A0A918ZVB9_9ACTN	CarD family transcriptional regulator	GCM10018785_42580	Streptomyces longispororuber	160
WP_003953493.1	A0A101QXC0	unreviewed	A0A101QXC0_9ACTN	CarD family transcriptional regulator	AQJ30_17400	Streptomyces longwoodensis	160
WP_003953493.1	A0A7W7DPA1	unreviewed	A0A7W7DPA1_9ACTN	CarD family transcriptional regulator	BJ965_004174	Streptomyces luteogriseus	160
WP_003953493.1	A0A918ND52	unreviewed	A0A918ND52_9ACTN	CarD family transcriptional regulator	GCM10010358_17730	Streptomyces minutiscleroticus	160
WP_003953493.1	A0A1I2EX89	unreviewed	A0A1I2EX89_9ACTN	Transcriptional regulator, CarD family	SAMN02787118_103114	Streptomyces mirabilis	160
WP_003953493.1	A0A918LJ57	unreviewed	A0A918LJ57_9ACTN	CarD family transcriptional regulator	GCM10010238_55280	Streptomyces niveoruber	160
WP_003953493.1	A0A1S6JB09	unreviewed	A0A1S6JB09_9ACTN	CarD family transcriptional regulator	B1H29_20350	Streptomyces pactum	160
WP_003953493.1	A0A918HN45	unreviewed	A0A918HN45_9ACTN	CarD family transcriptional regulator	GCM10010226_74870	Streptomyces phaeofaciens	160
WP_003953493.1	A0A918PBC9	unreviewed	A0A918PBC9_9ACTN	CarD family transcriptional regulator	GCM10010365_13160	Streptomyces poonensis	160
WP_003953493.1	A0A0X3VB35	unreviewed	A0A0X3VB35_9ACTN	CarD family transcriptional regulator	ADL12_11320	Streptomyces regalis	160
WP_003953493.1	A0A2P2GMR0	unreviewed	A0A2P2GMR0_9ACTN	CarD family transcriptional regulator	VO63_16775	Streptomyces showdoensis	160
WP_003953493.1	A0A516R9E6	unreviewed	A0A516R9E6_STRST	CarD family transcriptional regulator	CP982_20070 FH965_18205 FHS40_005719	Streptomyces spectabilis	160
WP_003953493.1	A0A919GJU6	unreviewed	A0A919GJU6_9ACTN	CarD family transcriptional regulator	GCM10018793_55930	Streptomyces sulfonofaciens	160
WP_003953493.1	A0A7G1NI29	unreviewed	A0A7G1NI29_9ACTN	CarD family transcriptional regulator	GCM10017668_31530	Streptomyces tuirus	160
WP_003953493.1	A0A918VGU8	unreviewed	A0A918VGU8_9ACTN	CarD family transcriptional regulator	GCM10010389_38890	Streptomyces echinoruber	160
WP_003953493.1	A0A1C5E8H8	unreviewed	A0A1C5E8H8_9ACTN	Transcriptional regulator, CarD family	GA0115280_1198106	Streptomyces sp. Cmuel-A718b	160
WP_003953493.1	L1KP73	unreviewed	L1KP73_9ACTN	CarD-like protein	STRIP9103_04311	Streptomyces ipomoeae 91-03	160
WP_003953493.1	G2G820	unreviewed	G2G820_9ACTN	Transcriptional regulator	SZN_08169	Streptomyces zinciresistens K42	160
WP_003953493.1	A0A4P6TWZ2	unreviewed	A0A4P6TWZ2_STRSO	CarD family transcriptional regulator	D0Z67_13170	Streptomyces seoulensis	160
WP_003953493.1	D7C349	unreviewed	D7C349_STRBB	Putative transcriptional regulator	SBI_04991	Streptomyces bingchenggensis (strain BCW-1)	160
WP_003953493.1	A0A370RXY2	unreviewed	A0A370RXY2_9ACTN	CarD family transcriptional regulator	DER30_3875	Streptomyces sp. HB202	160
WP_003953493.1	A0A1V4A846	unreviewed	A0A1V4A846_9ACTN	CarD family transcriptional regulator	B1H18_15665	Streptomyces tsukubensis	160
WP_003953493.1	G2NF57	unreviewed	G2NF57_STREK	Transcriptional regulator, CarD family	SACTE_3673	Streptomyces sp. (strain SirexAA-E / ActE)	160
WP_003953493.1	A0A124IF67	unreviewed	A0A124IF67_9ACTN	CarD family transcriptional regulator	AQJ91_13970	Streptomyces dysideae	160
WP_003953493.1	A0A401W386	unreviewed	A0A401W386_STREY	CarD family transcriptional regulator	GKJPGBOP_03457	Streptomyces paromomycinus (Streptomyces rimosus subsp. paromomycinus)	160
WP_003953493.1	A0A3M0HX11	unreviewed	A0A3M0HX11_9ACTN	CarD family transcriptional regulator	CTZ28_33680	Streptomyces shenzhenensis	160
WP_003953493.1	F2RFV0	unreviewed	F2RFV0_STRVP	CarD transcriptional regulator	SVEN_3966	Streptomyces venezuelae (strain ATCC 10712 / CBS 650.69 / DSM 40230 / JCM 4526 / NBRC 13096 / PD 04745)	160
WP_003953493.1	F3NEA0	unreviewed	F3NEA0_9ACTN	Transcriptional regulator	SGM_1464	Streptomyces griseoaurantiacus M045	160
WP_003961278.1	E2PYW2	unreviewed	E2PYW2_STRCL	Sensory transduction protein RegX3	phoP SCLAV_3222	Streptomyces clavuligerus	226
WP_003961277.1	E2PYW1	unreviewed	E2PYW1_STRCL	Sensor-like histidine kinase SenX3 (EC 2.7.13.3)	phoR SCLAV_3221	Streptomyces clavuligerus	494
WP_003953498.1	B5GP24	unreviewed	B5GP24_STRCL	Phosphate-specific transport system accessory protein PhoU	phoU SCLAV_3220	Streptomyces clavuligerus	229
WP_003961273.1	E2PYV6	unreviewed	E2PYV6_STRCL	Major facilitator superfamily permease	SCLAV_3216	Streptomyces clavuligerus	603
WP_003953504.1	B5GP30	unreviewed	B5GP30_STRCL	Pectate lyase superfamily protein domain-containing protein	SCLAV_3215	Streptomyces clavuligerus	571
WP_003961272.1	E2PYV4	unreviewed	E2PYV4_STRCL	DUF2596 domain-containing protein	SCLAV_3214	Streptomyces clavuligerus	192
WP_003961271.1	E2PYV2	unreviewed	E2PYV2_STRCL	Methylase	SCLAV_3212	Streptomyces clavuligerus	262
WP_003953508.1	B5GP34	unreviewed	B5GP34_STRCL	NLP/P60-family secreted protein	SCLAV_3211	Streptomyces clavuligerus	391
WP_003953510.1	B5GP36	unreviewed	B5GP36_STRCL	DUF2516 domain-containing protein	SCLAV_3209	Streptomyces clavuligerus	113
WP_003953511.1	B5GP37	unreviewed	B5GP37_STRCL	Uncharacterized protein	SCLAV_3208	Streptomyces clavuligerus	201
WP_003953516.1	B5GP42	unreviewed	B5GP42_STRCL	L-asparaginase II	SCLAV_3203	Streptomyces clavuligerus	318
WP_003953521.1	B5GP47	unreviewed	B5GP47_STRCL	Ferric nitrobindin-like protein	SCLAV_3198	Streptomyces clavuligerus	197
WP_003961263.1	E2PYT6	unreviewed	E2PYT6_STRCL	Uncharacterized protein	SCLAV_3196	Streptomyces clavuligerus	120
WP_003953525.1	B5GP51	unreviewed	B5GP51_STRCL	DUF1416 domain-containing protein	SCLAV_3194	Streptomyces clavuligerus	95
WP_003953525.1	A0A7J5D876	unreviewed	A0A7J5D876_9ACTN	DUF1416 domain-containing protein	F8144_30740	Streptomyces triticiradicis	95
WP_003953526.1	B5GP52	unreviewed	B5GP52_STRCL	Sulfurtransferase	SCLAV_3193	Streptomyces clavuligerus	281
WP_003961260.1	E2PYT1	unreviewed	E2PYT1_STRCL	Secreted protein	SCLAV_3191	Streptomyces clavuligerus	249
WP_003961259.1	E2PYT0	unreviewed	E2PYT0_STRCL	Putative integral membrane protein	SCLAV_3190	Streptomyces clavuligerus	482
WP_003953534.1	B5GP60	unreviewed	B5GP60_STRCL	LacI-family transcriptional regulator	SCLAV_3187	Streptomyces clavuligerus	340
WP_003961256.1	E2PYS6	unreviewed	E2PYS6_STRCL	Uncharacterized protein	SCLAV_3186	Streptomyces clavuligerus	93
WP_003961254.1	E2PYS4	unreviewed	E2PYS4_STRCL	Putative serine protease	SCLAV_3184	Streptomyces clavuligerus	332
WP_003953540.1	B5GP66	unreviewed	B5GP66_STRCL	histidine kinase (EC 2.7.13.3)	SCLAV_3182	Streptomyces clavuligerus	471
WP_003961252.1	E2PYS0	unreviewed	E2PYS0_STRCL	RorA-like transcriptional regulator	SCLAV_3180	Streptomyces clavuligerus	270
WP_003953543.1	B5GP69	unreviewed	B5GP69_STRCL	1-phosphatidylinositol phosphodiesterase (EC 4.6.1.13) (Phosphatidylinositol diacylglycerol-lyase) (Phosphatidylinositol-specific phospholipase C)	SCLAV_3179	Streptomyces clavuligerus	288
WP_003961251.1	E2PYR8	unreviewed	E2PYR8_STRCL	5'-nucleotidase (EC 3.1.3.5)	SCLAV_3178	Streptomyces clavuligerus	610
WP_003961250.1	E2PYR6	unreviewed	E2PYR6_STRCL	Alkaline d-peptidase	adp2 SCLAV_3176	Streptomyces clavuligerus	434
WP_003953547.1	B5GP73	unreviewed	B5GP73_STRCL	Putative integral membrane protein	SCLAV_3175	Streptomyces clavuligerus	203
WP_003961249.1	E2PYR4	unreviewed	E2PYR4_STRCL	Mycothiol acetyltransferase (MSH acetyltransferase) (EC 2.3.1.189) (Mycothiol synthase)	mshD SCLAV_3174	Streptomyces clavuligerus	307
WP_003961246.1	E2PYR1	unreviewed	E2PYR1_STRCL	Putative NUDIX hydrolase	SCLAV_3171	Streptomyces clavuligerus	146
WP_003953557.1	B5GP83	unreviewed	B5GP83_STRCL	Phosphate transport system permease protein PstA	pstA SCLAV_3167	Streptomyces clavuligerus	358
WP_003961242.1	E2PXZ7	unreviewed	E2PXZ7_STRCL	Phosphate import ATP-binding protein pstB (EC 3.6.3.27)	pstB SCLAV_3166	Streptomyces clavuligerus	258
WP_003953559.1	B5GP85	unreviewed	B5GP85_STRCL	PitH protein	pitH SCLAV_3164	Streptomyces clavuligerus	332
WP_003953560.1	B5GP86	unreviewed	B5GP86_STRCL	Pit accessory protein	SCLAV_3163	Streptomyces clavuligerus	206
WP_003953561.1	B5GP87	unreviewed	B5GP87_STRCL	Uncharacterized protein	SCLAV_3162	Streptomyces clavuligerus	125
WP_003953565.1	B5GP91	unreviewed	B5GP91_STRCL	Integral membrane protein	SCLAV_3159	Streptomyces clavuligerus	250
WP_003953568.1	B5GP94	unreviewed	B5GP94_STRCL	Integral membrane protein	SCLAV_3156	Streptomyces clavuligerus	102
WP_003961237.1	E2PXY6	unreviewed	E2PXY6_STRCL	Putative integral membrane protein	SCLAV_3155	Streptomyces clavuligerus	284
WP_003961236.1	E2PXY5	unreviewed	E2PXY5_STRCL	Integral membrane protein	SCLAV_3154	Streptomyces clavuligerus	454
WP_003953572.1	B5GP98	unreviewed	B5GP98_STRCL	Putative membrane protein	SCLAV_3153	Streptomyces clavuligerus	521
WP_003953574.1	B5GP99	unreviewed	B5GP99_STRCL	ATP/GTP-binding protein	SCLAV_3152	Streptomyces clavuligerus	479
WP_003953575.1	B5GPA0	unreviewed	B5GPA0_STRCL	Type IV secretory pathway	SCLAV_3151	Streptomyces clavuligerus	528
WP_003961235.1	E2PXY1	unreviewed	E2PXY1_STRCL	MarR-family transcriptional regulator	SCLAV_3150	Streptomyces clavuligerus	191
WP_003953581.1	B5GPA5	unreviewed	B5GPA5_STRCL	Magnesium or manganese-dependent protein phosphatase	SCLAV_3148	Streptomyces clavuligerus	604
WP_003953584.1	B5GPA7	unreviewed	B5GPA7_STRCL	TetR-family transcriptional regulator	SCLAV_3146	Streptomyces clavuligerus	272
WP_003954952.1	B5GT17	unreviewed	B5GT17_STRCL	Putative membrane protein	SCLAV_3137	Streptomyces clavuligerus	471
WP_003954954.1	B5GT19	unreviewed	B5GT19_STRCL	Putative M23-family secreted peptidase	SCLAV_3135	Streptomyces clavuligerus	352
WP_003954957.1	B5GT22	unreviewed	B5GT22_STRCL	Secreted protein	SCLAV_3132	Streptomyces clavuligerus	96
WP_003954958.1	B5GT23	unreviewed	B5GT23_STRCL	Putative secreted protein	SCLAV_3131	Streptomyces clavuligerus	238
WP_003954959.1	B5GT24	unreviewed	B5GT24_STRCL	Methyltransferase type 11	SCLAV_3130	Streptomyces clavuligerus	367
WP_003961223.1	E2PXW0	unreviewed	E2PXW0_STRCL	Secreted protein	SCLAV_3129	Streptomyces clavuligerus	130
WP_003961222.1	E2PXV9	unreviewed	E2PXV9_STRCL	Alkaline D-peptidase	adp1 SCLAV_3128	Streptomyces clavuligerus	412
WP_003954963.1	B5GT28	unreviewed	B5GT28_STRCL	Proteinase Secreted protein	slpD SCLAV_3127	Streptomyces clavuligerus	524
WP_003961221.1	E2PXV7	unreviewed	E2PXV7_STRCL	Putative pterin-4-alpha-carbinolamine dehydratase (EC 4.2.1.96)	phhB SCLAV_3126	Streptomyces clavuligerus	104
WP_003954964.1	B5GT29	unreviewed	B5GT29_STRCL	5-carboxymethyl-2-hydroxymuconate delta-isomerase	SCLAV_3125	Streptomyces clavuligerus	258
WP_003961220.1	E2PXV5	unreviewed	E2PXV5_STRCL	ATP-dependent RNA helicase	SCLAV_3124	Streptomyces clavuligerus	757
WP_003961219.1	E2PXV4	unreviewed	E2PXV4_STRCL	Lipoprotein	SCLAV_3123	Streptomyces clavuligerus	212
WP_003954968.1	B5GT33	unreviewed	B5GT33_STRCL	Fluoride-specific ion channel FluC	crcB2 crcB fluC SCLAV_3122	Streptomyces clavuligerus	120
WP_003954969.1	B5GT34	unreviewed	B5GT34_STRCL	Fluoride-specific ion channel FluC	crcB1 crcB fluC SCLAV_3121	Streptomyces clavuligerus	194
WP_003954972.1	B5GT37	unreviewed	B5GT37_STRCL	Putative membrane protein	SCLAV_3118	Streptomyces clavuligerus	535
WP_003954973.1	B5GT38	unreviewed	B5GT38_STRCL	Class II RPD3 type histone deacetylase protein	SCLAV_3117	Streptomyces clavuligerus	231
WP_003961217.1	E2PXU7	unreviewed	E2PXU7_STRCL	Integral membrane cytochrome biogenesis protein	SCLAV_3116	Streptomyces clavuligerus	308
WP_003961216.1	E2PXU6	unreviewed	E2PXU6_STRCL	DSBA oxidoreductase	SCLAV_3115	Streptomyces clavuligerus	293
WP_003954976.1	B5GT41	unreviewed	B5GT41_STRCL	Secreted protein	SCLAV_3113	Streptomyces clavuligerus	125
WP_003949541.1	Q9RKJ5	unreviewed	Q9RKJ5_STRCO	DNA-binding protein	SCO4091 SCD25.27	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	68
WP_003949541.1	A0A540PYQ0	unreviewed	A0A540PYQ0_9ACTN	Developmental transcriptional regulator BldC	bldC Sipo8835_26155	Streptomyces ipomoeae	68
WP_003949541.1	A0A3M8EUX2	unreviewed	A0A3M8EUX2_9ACTN	Helix-turn-helix domain-containing protein	DC095_028155 SFRA_029070	Streptomyces xinghaiensis	68
WP_003949541.1	A0A1Q4VCS8	unreviewed	A0A1Q4VCS8_9ACTN	DNA-binding protein	AB852_02340	Streptomyces uncialis	68
WP_003949541.1	M3FK15	unreviewed	M3FK15_9ACTN	DNA-binding protein	SBD_5495	Streptomyces bottropensis ATCC 25435	68
WP_003949541.1	H0B6L8	unreviewed	H0B6L8_9ACTN	Putative DNA-binding protein	SPW_0904	Streptomyces sp. W007	68
WP_003949541.1	A0A7Y6HPH1	unreviewed	A0A7Y6HPH1_9ACTN	Developmental transcriptional regulator BldC	bldC G6W50_31370	Streptomyces sp. CAI 127	68
